codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
518,2852,BANCO DO BRASIL,BELA VISTA DE GOIAS,,,,,,,,,
519,1550.104,CAIXA ECONOMICA FEDERAL,GOIANIA-GO,,,,,,,,,
520,0749.001,BANCO DO BRASIL,PARAUNA,,,,,,,,,
521,0966.399,HSBC,CASSILANDIA-MS,,,,,,,,,
522,0801.104,CAIXA ECONOMICA FEDERAL,NOVO HORIZONTE - SP,,,,,,,,,
523,0512.001,BANCO DO BRASIL,ALTO ARAGUAIA - MT,,,,,,,,,
524,0639.001,BANCO DO BRASIL,JUSSARA-GO,,,,,,,,,
525,4403.341,ITAU,MINEIROS-GO,,,,,,,,,
526,3034,ITAU,UDI-MG,,102,2021-01-19T19:37:58,,341,341,,,
527,0171.031,BEG,BURITI ALEGRE,,,,,,,,,
528,4366.341,ITAU,IPORA,,,,,,,,,
529,0203.031,BEG,AP� DO RIO DOCE,,,,,,,,,
530,4317.341,ITAU,ACREUNA,,,,,,,,,
531,0353.341,ITAU,ALPINOPOLIS-MG,,,,,,,,,
532,0036.031,BEG,AURILANDIA - GO,,,,,,,,,
533,4362.341,ITAU,PARAUNA- GO,,,,,,,,,
534,4344.341,ITAU,CAIPONIA-GO,,,,,,,,,
535,0228.031,BEG,AGUA LIMPA,,,,,,,,,
536,0350.001,BANCO DO BRASIL,MORRINHOS,,,,,,,,,
537,0089.031,BEG,EDEALINA,,,,,,,,,
538,0041.389,MERCANTIL,MINEIROS,,,,,,,,,
539,3328.001,BANCO DO BRASIL,PONTA GROSSA/RS,,,,,,,,,
540,0599.001,BANCO DO BRASIL,S.MIGUEL D'OESTE,,,,,,,,,
541,3942.001,BANCO DO BRASIL,QUERENCIA -MT,,,,,,,,,
542,2644.237,BRADESCO,RIO VERDE,,,,,,,,,
543,5158.341,ITAU,MAURILANDIA,,,,,,,,,
544,1092.104,CAIXA ECONOMICA FEDERAL,GOIANIA,,,,,,,,,
545,0065.001,BANCO DO BRASIL,S.J. BOA VISTA - SP,,,,,,,,,
546,1588.001,BANCO DO BRASIL,NATAL-RN,,,,,,,,,
547,3414.237,BRADESCO,RIO VERDE,,,,,,,,,
