codcfop,descricao,proc_qtde,proc_cupom,cfop_devolucao,situacao_icms_entradas_nf,situacao_icms_saidas_nf,situacao_pis_entradas_nf,situacao_pis_saidas_nf,situacao_cofins_entradas_nf,situacao_cofins_saidas_nf,nao_gera_apuracao_icms,gera_financeiro_auto
6101,VENDA PROD DO ESTABELECIMENTO,S,N,6202,,,,,,,,
6102,VENDA MERC ADQ TERCEIROS,S,N,6949,,791,,792,,793,,
6103,VENDA PROD ESTAB EFET FORA DO ESTABELECIMENTO,S,N,,,,,,,,,
6104,VENDA MERC ADQ TERC EFET FORA ESTABELECI,S,N,,,,,,,,,
6105,VENDA PROD ESTAB Q NAO DEVA POR ELE TRANSITAR,S,N,,,,,,,,,
6106,VENDA MERC ADQ RECEB TERC Q NAO DEVA TRA,S,N,,,,,,,,,
6107,VENDA PROD ESTAB DEST A NAO CONTRIBUINTE,S,N,,,,,,,,,
6108,VENDA MERC ADQ DE TERC DEST A NAO CONTRI,S,N,,,,,,,,,
6109,VENDA PROD ESTAB DEST A ZONA FRANCA,S,N,,,,,,,,,
6110,VENDA MERC ADQ RECEB TERC DEST A ZONA FR,S,N,,,,,,,,,
6111,VENDA PROD ESTAB REMET ANTERIOR EM CONSIG INDUSTRI,S,N,,,,,,,,,
6112,VENDA MERC ADQ DE TERC REMET ANTE CONS IND,S,N,,,,,,,,,
6113,VENDA PROD ESTAB REMET ANT EM CONSIG MERCANTIL,S,N,,,,,,,,,
6114,VENDA MERC ADQ TERC REMET ANT EM CONS MERCANTIL,S,N,,,,,,,,,
6115,VENDA MERC ADQ TERC RECEB ANT EM CONS MERCANTIL,S,N,,,,,,,,,
6116,VENDA PROD ESTAB ORIG DE ECOM P ENTR FUTURA,S,N,,,,,,,,,
6117,VENDA MERC ADQ TERC ORIG ENCOM P ENTR FUTURA,S,N,,,,,,,,,
6118,VENDA PROD ESTAB ENTREG POR CONT ADQ,S,N,,,,,,,,,
6401,VENDA PROD ESTAB SUJ AO REG SUB TRIBUTAR,S,N,6411,,,,,,,,
6402,VENDA PROD ESTAB PROD SUJ SUB TRIB ENT CONTRIBUINT,S,N,6411,,,,,,,,
6403,VENDA MERC ADQ TERC C MERC SUJ REG SUB TRIBUTARIA,S,N,6411,,791,,792,,793,,
6404,VENDA MERC SUJ REG SUB TRIB C IMPOS JA RECOLHIDO,S,N,6411,,,,,,,,
6408,TRANSF PROD ESTAB C PROD SUJ SUB TRIBUTA,S,N,,,,,,,,,
6409,TRANSF MERC ADQ TERC C MERC SUJ SUB TRIB,S,N,,,,,,,,,
6410,DEVOL COMPRA P IND C MERC SUJ REG SUB TRIBUTARIA,S,N,,,,,,,,,
6411,DEVOLUCAO DE COMPRAS PARA COMERCIALIZACAO FORA ESTADO ST,S,N,,,825,,826,,827,,
6412,DEVOL BEM ATIVO IMOB C MERC SUJ REG SUB TRIBUTARIA,S,N,,,,,,,,,
