idcidade,iduf,cidade
1100148,11,NOVA BRASILANDIA D'OESTE
1100320,11,SAO MIGUEL DO GUAPORA
1100346,11,ALVORADA D'OESTE
1101500,11,SERINGUEIRAS
1100015,11,ALTA FLORESTA D'OESTE
1100049,11,CACOAL
1100098,11,ESPIGAO D'OESTE
1100288,11,ROLIM DE MOURA
1100296,11,SANTA LUZIA D'OESTE
1100379,11,ALTO ALEGRE DOS PARECIS
1100502,11,NOVO HORIZONTE DO OESTE
1100908,11,CASTANHEIRAS
1101203,11,MINISTRO ANDREAZZA
1100189,11,PIMENTA BUENO
1100304,11,VILHENA
1100924,11,CHUPINGUAIA
1101450,11,PARECIS
1101476,11,PRIMAVERA DE RONDONIA
1101484,11,SAO FELIPE D'OESTE
1100031,11,CABIXI
1100056,11,CEREJEIRAS
1100064,11,COLORADO DO OESTE
1100072,11,CORUMBIARA
1101468,11,PIMENTEIRAS DO OESTE
1200203,12,CRUZEIRO DO SUL
1200336,12,MANCIO LIMA
1200351,12,MARECHAL THAUMATURGO
1200393,12,PORTO WALTER
1200427,12,RODRIGUES ALVES
1200302,12,FEIJO
1200328,12,JORDAO
1200609,12,TARAUACA
1200344,12,MANOEL URBANO
1200435,12,SANTA ROSA DO PURUS
1200500,12,SENA MADUREIRA
1200013,12,ACRELANDIA
1200138,12,BUJARI
1200179,12,CAPIXABA
1200385,12,PLACIDO DE CASTRO
1200401,12,RIO BRANCO
1200450,12,SENADOR GUIOMARD
1200807,12,PORTO ACRE
1200054,12,ASSIS BRASIL
1200104,12,BRASILEIA
1200252,12,EPITACIOLANDIA
1200708,12,XAPURI
1300409,13,BARCELOS
1303205,13,NOVO AIRAO
1100205,11,PORTO VELHO
1100338,11,NOVA MAMORE
1100452,11,BURITIS
1100700,11,CAMPO NOVO DE RONDONIA
1100809,11,CANDEIAS DO JAMARI
1100940,11,CUJUBIM
1101104,11,ITAPUA DO OESTE
1100080,11,COSTA MARQUES
1100106,11,GUAJARA-MIRIM
1101492,11,SAO FRANCISCO DO GUAPORE
1100023,11,ARIQUEMES
1100130,11,MACHADINHO D'OESTE
1100262,11,RIO CRESPO
1100403,11,ALTO PARAISO
1100601,11,CACAULANDIA
1101401,11,MONTE NEGRO
1101757,11,VALE DO ANARI
1100114,11,JARU
1100122,11,JI-PARANA
1100155,11,OURO PRETO DO OESTE
1100254,11,PRESIDENTE MEDICI
1101005,11,GOVERNADOR JORGE TEIXEIRA
1101302,11,MIRANTE DA SERRA
1101435,11,NOVA UNIAO
1101559,11,TEIXEIROPOLIS
1101609,11,THEOBROMA
1101708,11,URUPA
1101807,11,VALE DO PARAISO
1303601,13,SANTA ISABEL DO RIO NEGRO
1303809,13,SAO GABRIEL DA CACHOEIRA
1302108,13,JAPURA
1302801,13,MARAA
1300060,13,AMATURA
1300201,13,ATALAIA DO NORTE
1300607,13,BENJAMIN CONSTANT
1301605,13,FONTE BOA
1302306,13,JUTAI
1303700,13,SANTO ANTONIO DO ICA
1303908,13,SAO PAULO DE OLIVENCA
1304062,13,TABATINGA
1304237,13,TONANTINS
1301001,13,CARAUARI
1301407,13,EIRUNEPE
1301506,13,ENVIRA
1301654,13,GUAJARA
1301803,13,IPIXUNA
1301951,13,ITAMARATI
1302207,13,JURUA
1300029,13,ALVARAES
1304203,13,TEFE
1304260,13,UARINI
1300086,13,ANAMA
1300102,13,ANORI
1300631,13,BERURI
1300839,13,CAAPIRANGA
1301209,13,COARI
1301308,13,CODAJAS
1300300,13,AUTAZES
1301100,13,CAREIRO
1301159,13,CAREIRO DA VARZEA
1301852,13,IRANDUBA
1302504,13,MANACAPURU
1302553,13,MANAQUIRI
1302603,13,MANAUS
1303536,13,PRESIDENTE FIGUEIREDO
1303569,13,RIO PRETO DA EVA
1301902,13,ITACOATIARA
1302009,13,ITAPIRANGA
1303106,13,NOVA OLINDA DO NORTE
1304005,13,SILVES
1304401,13,URUCURITUBA
1300508,13,BARREIRINHA
1300680,13,BOA VISTA DO RAMOS
1302900,13,MAUES
1303007,13,NHAMUNDA
1303403,13,PARINTINS
1303957,13,SAO SEBASTIAO DO UATUMA
1304302,13,URUCARA
1300706,13,BOCA DO ACRE
1303502,13,PAUINI
1300904,13,CANUTAMA
1302405,13,LABREA
1304104,13,TAPAUA
1300144,13,APUI
1300805,13,BORBA
1301704,13,HUMAITA
1302702,13,MANICORE
1303304,13,NOVO ARIPUANA
1400027,14,AMAJARI
1400050,14,ALTO ALEGRE
1400100,14,BOA VISTA
1400456,14,PACARAIMA
1400159,14,BONFIM
1400175,14,CANTA
1400407,14,NORMANDIA
1400704,14,UIRAMUTA
1400209,14,CARACARAI
1400282,14,IRACEMA
1400308,14,MUCAJAI
1400233,14,CAROEBE
1400472,14,RORAINOPOLIS
1400506,14,SAO JOAO DA BALIZA
1400605,14,SAO LUIZ
1503002,15,FARO
1503903,15,JURUTI
1505106,15,OBIDOS
1505304,15,ORIXIMINA
1507979,15,TERRA SANTA
1500404,15,ALENQUER
1501451,15,BELTERRA
1502855,15,CURUA
1504802,15,MONTE ALEGRE
1505650,15,PLACAS
1506005,15,PRAINHA
1506807,15,SANTAREM
1500503,15,ALMEIRIM
1505908,15,PORTO DE MOZ
1501105,15,BAGRE
1503101,15,GURUPA
1504505,15,MELGACO
1505809,15,PORTEL
1500305,15,AFUA
1500701,15,ANAJAS
1501808,15,BREVES
1502806,15,CURRALINHO
1507706,15,SAO SEBASTIAO DA BOA VISTA
1502004,15,CACHOEIRA DO ARARI
1502509,15,CHAVES
1504901,15,MUANA
1505700,15,PONTA DE PEDRAS
1506302,15,SALVATERRA
1506401,15,SANTA CRUZ DO ARARI
