codconpagto,descricao,usultalteracao,dtultimalteracao,cd1,cd2,cd3,cd4,cd5,cd6,cd7,cd8,dtcadastro
121,28 35 42,3,2023-10-16T15:44:30.891930,28,35,42,,,,,,2023-10-16T15:44:30.891930
181,,3,2023-10-27T11:40:36.027962,,,,,,,,,2023-10-27T11:40:36.027962
441,35 35,3,2024-02-06T17:04:37.118232,35,35,,,,,,,2024-02-06T17:04:37.118232
24,17,3,2023-09-27T16:36:53.977174,17,,,,,,,,2023-09-27T16:36:53.977174
41,30,3,2023-09-28T09:26:39.225588,30,,,,,,,,2023-09-28T09:26:39.225588
42,30 60,3,2023-09-28T10:32:44.647011,30,60,,,,,,,2023-09-28T10:32:44.647011
61,20,3,2023-10-02T15:31:00.054507,20,,,,,,,,2023-10-02T15:31:00.054507
221,2835,50,2023-11-01T09:00:49.924202,2835,,,,,,,,2023-11-01T09:00:49.924202
201,40,50,2023-10-31T12:01:56.588808,40,,,,,,,,2023-10-31T12:01:56.588808
301,999,1,2023-11-24T18:07:39.519132,999,,,,,,,,2023-11-24T18:07:39.519132
341,30 50 70,3,2023-11-29T19:25:52.258654,30,50,70,,,,,,2023-11-29T19:25:52.258654
81,60,50,2023-10-04T10:18:13.090810,60,,,,,,,,2023-10-04T10:18:13.090810
101,28 35,3,2023-10-06T10:38:23.658022,28,35,,,,,,,2023-10-06T10:38:23.658022
102,30 35 60 90,3,2023-10-06T11:18:08.890630,30,35,60,90,,,,,2023-10-06T11:18:08.890630
161,30 60 90,3,2023-10-20T11:25:12.588582,30,60,90,,,,,,2023-10-20T11:25:12.588582
241,45,50,2023-11-06T10:30:01.055692,45,,,,,,,,2023-11-06T10:30:01.055692
281,30 40 50,3,2023-11-16T14:04:12.981790,30,40,50,,,,,,2023-11-16T14:04:12.981790
401,35 42 49,3,2024-01-22T19:10:46.668132,35,42,49,,,,,,2024-01-22T19:10:46.668132
421,30 45 60,3,2024-01-23T14:43:25.467127,30,45,60,,,,,,2024-01-23T14:43:25.467127
1,1,1,2023-09-26T18:42:02.900111,1,,,,,,,,2023-09-26T18:42:02.900111
21,35,50,2023-09-27T10:47:42.634107,35,,,,,,,,2023-09-27T10:47:42.634107
22,21,50,2023-09-27T11:14:11.654898,21,,,,,,,,2023-09-27T11:14:11.654898
23,28,21,2023-09-27T11:28:45.940342,28,,,,,,,,2023-09-27T11:28:45.940342
43,42,50,2023-09-28T11:38:18.962582,42,,,,,,,,2023-09-28T11:38:18.962582
141,35 42,50,2023-10-19T09:18:02.401261,35,42,,,,,,,2023-10-19T09:18:02.401261
261,28 35 53,3,2023-11-09T12:32:36.986733,28,35,53,,,,,,2023-11-09T12:32:36.986733
321,28 42,3,2023-11-27T19:36:07.247915,28,42,,,,,,,2023-11-27T19:36:07.247915
361,30 45,50,2023-12-08T12:56:21.823235,30,45,,,,,,,2023-12-08T12:56:21.823235
381,90,3,2024-01-18T13:46:26.365783,90,,,,,,,,2024-01-18T13:46:26.365783
461,7 14 21,1,2024-04-01T14:47:15.306885,7,14,21,,,,,,2024-04-01T14:47:15.306885
541,10,1,2024-07-04T15:16:38.039341,10,,,,,,,,2024-07-04T15:16:38.039341
481,7,1,2024-04-10T17:52:47.449463,7,,,,,,,,2024-04-10T17:52:47.449463
601,23,1,2026-02-10T16:07:22.958464,23,,,,,,,,2026-02-10T16:07:22.958464
641,5,1,2026-06-03T13:54:44.537107,5,,,,,,,,2026-06-03T13:54:44.537107
621,15,1,2026-05-29T10:40:05.221776,15,,,,,,,,2026-05-29T10:40:05.221776
501,100,1,2024-05-10T10:23:18.558291,100,,,,,,,,2024-05-10T10:23:18.558291
521,180,1,2024-06-14T13:55:46.058623,180,,,,,,,,2024-06-14T13:55:46.058623
