aliquota,uf,icm,icm_efetivo,base,cst,lei,csosn
IST,AC,0,0,100,40,,
IST,AL,0,0,100,40,,
IST,AM,0,0,100,40,,
IST,AP,0,0,100,40,,
IST,BA,0,0,100,40,,
IST,CE,0,0,100,40,,
IST,DF,0,0,100,40,,
IST,ES,0,0,100,40,,
IST,GO,0,0,100,40,,
IST,MA,0,0,100,40,,
IST,MG,0,0,100,40,,
IST,MS,0,0,100,40,,
IST,MT,0,0,100,40,,
IST,PA,0,0,100,40,,
IST,PB,0,0,100,40,,
IST,PE,0,0,100,40,,
IST,PI,0,0,100,40,,
IST,PR,0,0,100,40,,
IST,RJ,0,0,100,40,,
IST,RN,0,0,100,40,,
IST,RO,0,0,100,40,,
IST,RR,0,0,100,40,,
IST,RS,0,0,100,40,,
IST,SC,0,0,100,40,,
IST,SE,0,0,100,40,,
IST,SP,0,0,100,40,,
IST,TO,0,0,100,40,,
NTB,AC,0,0,100,0,,
NTB,AL,0,0,100,0,,
NTB,AM,0,0,100,0,,
NTB,AP,0,0,100,0,,
NTB,BA,0,0,100,0,,
NTB,CE,0,0,100,0,,
NTB,DF,0,0,100,0,,
NTB,ES,0,0,100,0,,
NTB,GO,0,0,100,0,,
NTB,MA,0,0,100,0,,
NTB,MG,0,0,100,41,,
NTB,MS,0,0,100,0,,
NTB,MT,0,0,100,0,,
NTB,PA,0,0,100,0,,
NTB,PB,0,0,100,0,,
NTB,PE,0,0,100,0,,
NTB,PI,0,0,100,0,,
NTB,PR,0,0,100,0,,
NTB,RJ,0,0,100,0,,
NTB,RN,0,0,100,0,,
NTB,RO,0,0,100,0,,
NTB,RR,0,0,100,0,,
NTB,RS,0,0,100,0,,
NTB,SC,0,0,100,0,,
NTB,SE,0,0,100,0,,
NTB,SP,0,0,100,0,,
NTB,TO,0,0,100,0,,
STB,AC,0,0,100,60,,
STB,AL,0,0,100,60,,
STB,AM,0,0,100,60,,
STB,AP,0,0,100,60,,
STB,BA,0,0,100,60,,
STB,CE,0,0,100,60,,
