codfamilia,descricao,tipo
872,BANHO CR BIO ,P
873,FIXADOR CHARMING ,P
874,OLEO CORP ,P
875,BEBIDA LACTEA ,P
876,CHOC LACTA ,P
877,SOPAO KNORR ,P
878,BISC AMANT ,P
879,ALHO TRITURADO ,P
880,SUCO ART MAX ,P
881,LEITE FERM ,P
882,IOG PAULI ,P
883,MAIONESE MARIA ,P
884,SAB PHEBO ,P
885,SH BIO EXTRATUS ,P
886,BANHO CR BIO ,P
887,SH PERT PLUS ,P
888,SH PALM NAT ,P
889,BALA ARCOR ,P
890,SOPA KNORR ,P
891,BALA ARCOR ,P
892,BALA ARCOR ,P
0,SEM GRUPO,D
1,MERCEARIA SECAO,D
2,CEREAIS,G
3,ARROZ BASICO 5 KG,S
4,ARROZ BASICO MENOS 5 KG,S
5,ARROZ ESPECIAIS,S
6,FEIJAO,S
7,ACUCAR,G
8,ACUCAR CRISTAL,S
9,ACUCAR REFINADO,S
10,FARINACEOS,G
11,DERIVADOS DE MILHO,S
12,FARINHA DE MANDIOCA,S
13,FAROFAS PRONTAS,S
14,FARINHA DE TRIGO,S
15,POLVILHO,S
16,OUTRAS FARINHAS,S
17,GRAOS,G
18,MILHO GRAOS,S
19,PIPOCA GERAL,S
20,AMENDOIM,S
21,OUTROS TIPOS DE GRAOS,S
22,SAL,G
23,REFINADO,S
24,GROSSO,S
25,CESTA,G
26,CESTA BASICA,S
27,CESTA NATAL,S
28,MERCEARIA SALGADA,D
29,MASSAS,G
30,MACARRAO SEMOLA,S
31,MACARRAO,S
32,MACARRAO GRANO DURO,S
33,MASSAS ESP. E PRE-COZIDAS,S
34,MACARRAO INSTANTANEO,S
35,SOPAS,S
36,MACARRAO OUTROS,S
37,ENLATADOS,G
38,AZEITES,S
39,OLEOS ESPECIAIS,S
40,OLEO COMPOSTO,S
41,OLEOS DE SOJA,S
42,MILHO VERDE,S
43,ERVILHAS,S
44,SELETAS,S
45,CONSERVAS SARDINHAS/ATUM,S
46,FEIJOADAS,S
47,EMBUTIDOS (SALSICHAS),S
48,CARNES/PATES,S
49,INSTITUCIONAIS (1KG ACIMA),S
50,CONSERVAS,G
51,AZEITONAS,S
52,PALMITO,S
53,CONSERVAS EM GERAL,S
54,MAIONESE ATE 250 GR,S
55,MAIONESE ACIMA DE 250 GR,S
56,TEMPEROS,G
57,EXTRATO DE TOMATE ATE 350 GR,S
58,EXTRATO DE TOMATE ACIMA 350 GR,S
59,MOLHOS E POLPAS TOMATE,S
60,CATCHUP,S
61,MOSTARDA,S
62,MOLHOS ESPECIAIS,S
63,MOLHO PIMENTA E OUTROS,S
64,VINAGRES,S
65,TEMPEROS EM PO,S
66,TEMPEROS PRONTOS,S
67,CALDOS,S
68,COMPLEMENTO,G
69,BATATA PALHA,S
70,QUEIJO RALADO,S
71,MERCEARIA DOCE,D
72,BOMBONIERE,G
73,BALAS E PIRULITOS EM GERAL,S
74,CHICLETS,S
75,DROPS E PASTILHAS,S
76,CHOCOLATES TABLETES,S
77,BOMBONS,S
78,CONFEITOS E DOCES DE AMENDOIM,S
79,PIPOCA DOCE,S
80,OVOS DE PASCOA,S
81,SOBREMESAS,G
82,GELATINAS,S
83,"PO P/ PUDIM, FLAN, MARIA MOLE",S
84,PREPARO P/ SORVETE,S
85,OUTRAS SOBREMESAS,S
86,MATINAIS,G
87,CAFE EM PO 250 GR,S
88,CAFE EM PO 500 GR,S
89,CAFE SOLUVEL,S
90,CHA E ERVA MATE,S
91,ACHOCOLATADOS ATE 300 GR,S
92,ACHOCOLATADOS ACIMA 300 GR,S
93,CEREAIS MATINAIS,S
94,COMPLEMENTO ALIMENTAR,S
95,LEITE EM PO,S
96,ALIMENT. INFANTIL,G
97,LEITES,S
98,PAPINHAS,S
99,ARROZINA/CREMOGEMA,S
100,CULINARIA DOCE,G
101,CREME DE LEITE,S
102,LEITE CONDENSADO,S
103,COMPLEMENTO,S
104,CONFEITOS,S
105,RECHEIOS E COBERTURA,S
106,FERMENTOS E COALHO,S
107,MISTURAS P/ BOLO E PAO DE QUEIJO,S
108,AMIDO,S
109,DOCES,G
110,COMPOTAS,S
111,DOCES DE LEITE,S
112,DOCES DE FRUTAS,S
113,DOCES EM GERAL/RAPADURA,S
114,GELEIAS,S
115,MEL/MELADOS,S
116,LINHA DIET /LIGHT,G
117,ADOCANTES,S
118,ALIMENTOS INTEGRAIS,S
119,ACHOCOLATADOS,S
120,BALAS DIET,S
121,BEBIDAS LIGHT E DIET,S
122,BISCOITOS E TORRADAS,S
123,CAPPUCCINOS,S
124,CEREAIS EM BARRA,S
125,GELEIAS E DOCES,S
126,SOBREMESAS,S
127,SUCOS E REFRESCOS,S
128,BISCOITOS DOCES,G
129,BISCOITO DOCE RECHEADO,S
130,BISCOITO DOCE WAFFER,S
131,BISCOITO DOCE LEITE,S
132,BISCOITO DOCE AMANTEIGADO,S
133,BISCOITO DOCE MARIA,S
134,BISCOITO DOCE MAIZENA,S
135,BISCOITO DOCE CAIXAS,S
136,BISCOITO DOCE GERAL,S
137,BISCOITOS SALGADOS,G
138,BISCOITO SALGADO AGUA E SAL,S
139,BISCOITO CREAM CRACKER,S
140,BISCOITO SALPET,S
141,BISCOITO SALGADO CAIXAS,S
142,SALGADINHOS,G
143,AMENDOIM E CASTANHAS,S
144,BATATA FRITA,S
145,BISCOITO SALGADO APERITIVOS,S
146,SALGADINHOS SABORES,S
147,PERECIVEIS,D
148,FRIAMBRERIA,G
149,QUEIJOS FATIADOS,S
150,MUSSARELA FATIADA,S
151,PRESUNTO,S
152,APRESUNTADO,S
153,MORTADELA/SALAME/CALABRESA,S
154,LINGUICAS/SALSICHAS,S
155,PATES / ANTEPASTO,S
156,MARGARINA ATE 250 GR,S
157,MARGARINA ACIMA 250 GR,S
158,MASSAS FRESCAS,S
159,DEFUMADOS,S
160,BANHAS E GORDURA VEGETAL,S
161,FERMENTO FRESCO,S
162,LATICINIOS,G
163,IOGURTES BANDEJAS E COPOS,S
164,IOGURTES GARRAFAS,S
165,IOGURTES FUNCIONAIS,S
166,IOGURTES DIET,S
167,BEBIDAS LACTEAS,S
168,LEITES FERMENTADOS,S
169,SOBREMESAS LACTEAS,S
170,LEITES SAQUINHO,S
171,LEITES/BEBIDA LACTEA C/ SABOR,S
172,QUEIJOS FRESCOS,S
173,QUEIJOS ESPECIAIS,S
174,QUEIJO RALADO,S
175,MANTEIGA,S
176,MUSSARELA/LANCHE,S
177,REQUEIJAO COPO,S
178,ESPECIALIDADE LACTEA,S
179,CREME DE LEITE FRESCO,S
180,LEITE LONGA VIDA,S
181,ACHOCOLATADOS PRONTOS,S
182,"RETALHO, PONTAS, APARAS",S
183,CONGELADOS,G
184,DERIVADOS AVES,S
185,DERIVADOS CARNES,S
186,FRANGO (INTEIRO),S
187,LEGUMES CONGELADOS,S
188,MASSAS,S
189,PAO DE QUEIJO,S
190,PEIXES,S
191,POLPA DE FRUTAS E SUCOS,S
192,SALGADINHOS,S
193,SORVETES/PICOLES,S
194,PRATOS PRONTOS,S
195,OUTROS PROD. CONGELADOS,S
196,EMPORIO,G
197,CONSERVAS A GRANEL,S
198,DOCES A GRANEL,S
199,FRUTAS SECAS E CRISTALIZADAS,S
200,ESPECIARIAS,S
201,APERITIVOS A GRANEL,S
202,PADARIA,D
203,PADARIA PROD PROPRIA,G
204,PRODUTOS PROPRIOS PAES,S
205,PRODUTOS PROPR. SALGADOS,S
206,PRODUTOS PROP. BISCOITOS,S
207,PRODUTOS PROP. DOCES,S
208,PAO DE QUEIJO,S
209,PIZZA RESFRIADA INTEIRA,S
210,PRODUT. PROP.TORTAS E BOLOS,S
211,"PRODUT. PROP. PANETTONE, COLOMBA",S
1506,REQUEIJAO ,P
1507,AGUA OXIG ,P
1508,IOG NESTLE ,P
1510,MASCARA INT ,P
1511,AMAC FOFO ,P
1512,ESPUMA BARB ,P
1513,MAC STA AMAL ,P
1514,IOG ITAMBEZINHO ,P
1515,IOG ITAMBE ,P
1516,DESOD SANIT ,P
2000,DANETE 360G,P
2001,DANETE MIX,P
1517,IOG DANONE ,P
1518,MAC INST NISSIN ,P
1519,TINT NIELY COR E TON,P
1520,COND COLORAMA ,P
1521,MIST BOLO ,P
1522,IOG NESTLE ,P
1523,GUARD KITCHEN ,P
1524,SUCO BELLYWASHERS ,P
1525,MARG CREM ,P
1526,GUARANA ANTARCTICA ,P
1527,PEPSI TWIST ,P
1528,TINT BEAUTY ,P
1529,SAB FLEUR ,P
1530,FRALDA DESC ,P
1531,FRALDA DESC ,P
1532,FRALDA DESC ,P
1533,BALA SUPRA ,P
1534,LOCAO NIVEA ,P
