codigo,ncmsh,categoria,descricao,ipi,vigencia_inicio,vigencia_fim,un_tributada,un_tributada_descricao,observacao,usultalteracao,dtultimalteracao,dtcadastro
34021300,34021300,"SABÕES, AGENTES ORGÂNICOS DE SUPERFÍCIE, PREPARAÇÕES PARA LAVAGEM, PREPARAÇÕES LUBRIFICANTES, CERAS ARTIFICIAIS, CERAS PREPARADAS, PRODUTOS DE CONSERVAÇÃO E LIMPEZA, VELAS E ARTIGOS SEMELHANTES, MASSAS OU PASTAS PARA MODELAR, “CERAS PARA DENTISTAS” E COMPOSIÇÕES PARA DENTISTAS À BASE DE GESSO","AGENTES ORGANICOS DE SUPERFICIE,NAO IONICOS",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:20.338004
34021900,34021900,"SABÕES, AGENTES ORGÂNICOS DE SUPERFÍCIE, PREPARAÇÕES PARA LAVAGEM, PREPARAÇÕES LUBRIFICANTES, CERAS ARTIFICIAIS, CERAS PREPARADAS, PRODUTOS DE CONSERVAÇÃO E LIMPEZA, VELAS E ARTIGOS SEMELHANTES, MASSAS OU PASTAS PARA MODELAR, “CERAS PARA DENTISTAS” E COMPOSIÇÕES PARA DENTISTAS À BASE DE GESSO",OUTROS AGENTES ORGANICOS DE SUPERFICIE,5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:20.347525
34022000,34022000,"SABÕES, AGENTES ORGÂNICOS DE SUPERFÍCIE, PREPARAÇÕES PARA LAVAGEM, PREPARAÇÕES LUBRIFICANTES, CERAS ARTIFICIAIS, CERAS PREPARADAS, PRODUTOS DE CONSERVAÇÃO E LIMPEZA, VELAS E ARTIGOS SEMELHANTES, MASSAS OU PASTAS PARA MODELAR, “CERAS PARA DENTISTAS” E COMPOSIÇÕES PARA DENTISTAS À BASE DE GESSO","PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:20.357047
34029011,34029011,"SABÕES, AGENTES ORGÂNICOS DE SUPERFÍCIE, PREPARAÇÕES PARA LAVAGEM, PREPARAÇÕES LUBRIFICANTES, CERAS ARTIFICIAIS, CERAS PREPARADAS, PRODUTOS DE CONSERVAÇÃO E LIMPEZA, VELAS E ARTIGOS SEMELHANTES, MASSAS OU PASTAS PARA MODELAR, “CERAS PARA DENTISTAS” E COMPOSIÇÕES PARA DENTISTAS À BASE DE GESSO",MISTURAS DE AGENTE ORGAN.DE SUPERF.CONT.PRODS. N/IONICOS,5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:20.366232
30039087,30039087,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO C/CLORIDRATO DE TIZANIDINA, CETOCONAZOL,FURAZOLIDONA.EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.444900
30039088,30039088,PRODUTOS FARMACÊUTICOS,"MEDICAM.CONTENDO AMPRENAVIR, APREPITANTO, DELAVIRDINA OU SEU MESILATO, EFAVIRENZ, EMTRICITABINA, ETOPÓSIDO, FOSFATO DE FLUDARABINA, FOSAMPRENAVIR CÁLCICO, GENCITABINA OU SEU CLORIDRATO, RALTITREXIDA, RITONAVIR, TENIPÓSIDO, .EXC.DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.454227
30039089,30039089,PRODUTOS FARMACÊUTICOS,MEDICAMENTO C/OUTS.COMPOST.HETEROCICL. ETC.EXC.EM DOSES,0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.463381
30039091,30039091,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO EXTRATO DE POLEN,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.475424
30039092,30039092,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.DISOFENOL/CRISAROBINA,ETC.EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.484843
30039093,30039093,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO DICOFLENACO RESINATO,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.494028
30039094,30039094,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO SILIMARINA,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.502912
30039095,30039095,PRODUTOS FARMACÊUTICOS,"BUSSULFANO, DEXORMAPLATINA, DIETILESTILBESTROL OU SEU DIPROPIONATO, ENLOPLATINA, FILGRASTINA, IPROPLATINA, LOBAPLATINA, MIBOPLATINA, MILTEFOSINA, MITOTANO, ORMAPLATINA, PROCARBAZINA OU SEU CLORIDRATO, PROPOFOL, SEBRIPLATINA, ZENIPLATINA .EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:16.512021
