idpiscofins,descricao,aliq_pis_ent,aliq_pis_sai,aliq_cofins_ent,aliq_cofins_sai,cst_pis_ent,cst_pis_sai,cst_cofins_ent,cst_cofins_sai
9,ISENTO,0.0,0.0,0.0,0.0,71,9,71,9
10,SUBSTITUI��O TRIBUTARIA,0.0,0.0,0.0,0.0,75,5,75,5
11,CREDITO PRESUMIDO AVES E SUINOS,0.198,1.65,0.912,7.6,60,1,60,1
12,ALIQUOTA ZERO,0.0,0.0,0.0,0.0,73,6,73,6
13,TRIBUTADOS,1.65,1.65,7.6,7.6,50,1,50,1
14,MONOFASICO,0.0,0.0,0.0,0.0,70,4,70,4
1,CREDITO PRESUMIDO CARNE BOVINA,0.66,1.65,3.04,7.6,60,1,60,1
15,CADASTRADO VIA FGF,0.0,0.0,0.0,0.0,73,6,,
16,CADASTRADO VIA FGF,,,,,70,6,70,6
17,CADASTRADO VIA FGF,,,,,70,1,70,1
18,CADASTRADO VIA FGF,,,,,72,9,72,9
19,CADASTRADO VIA FGF,,,,,0,0,0,0
20,CADASTRADO VIA FGF,,,,,50,1,50,1
