codplc,codpai,desccodplc,descricao,nivelconta,codcontabil
256,253,4.07.003,EMBALAGENS ROTISSERIA,1,
257,253,4.07.004,EMBALAGENS HORTFRUT,1,
258,253,4.07.005,EMBALAGENS PDV,1,443
64,200,2.01.050,VERBAS DE FORNECEDORES,2,552
260,1074,4.08.,MATERIAL DE USO E CONSUMO,1,441
261,260,4.08.001,MATERIAL DA RECEPÇÃO,2,443
262,260,4.08.002,IMPRESSOS,2,440
263,260,4.08.003,CORREIO,2,405
264,260,4.08.004,MAT DE LIMPEZA LOJA,2,33120029
265,1074,4.10.,PROPAGANDA,1,431
266,265,4.10.001,PROPAGANDA,2,431
267,265,4.10.002,PROPAGANDA -  RADIO,2,431
268,265,4.10.003,PROPAGANDA -  PANFLETOS GRAFICA,2,431
269,265,4.10.004,PROPAGANDA -  DISTRIBUICAO DE PANFLETOS,2,431
270,265,4.10.005,PROPAGANDA -  GRAFICA OUTROS,2,431
271,265,4.10.006,PROPAGANDA -  AGENCIA,2,431
272,265,4.10.012,PROPAGANDA -  PREMIOS,2,431
273,265,4.10.007,PROPAGANDA -  FAIXAS E CARTAZETES,2,431
274,265,4.10.008,PROPAGANDA -  OUT-DOOR,2,431
275,265,4.10.009,PROPAGANDA -  CARRO DE SOM,2,431
277,265,4.10.010,PROPAGANDA - FACEBOOK,2,431
278,200,2.01.002,COMPRAS MERCADORIAS - ICMS ST COMPRAS,2,32120006
279,1074,4.09.,SERVICOS PUBLICOS,0,
280,279,4.09.001,AGUA E ESGOTO,1,400
281,279,4.09.002,ENERGIA ELETRICA,1,399
282,279,4.09.003,TELEFONE,1,401
283,279,4.09.004,TELEFONE CELULAR,1,402
284,279,4.09.005,GAS,1,428
285,279,4.09.006,OLEO DIESEL,1,
287,1074,4.11.,ALUGUEL,1,
288,287,4.11.001,ALUGUEL ESTABELECIMENTO,2,444
289,287,4.11.002,COLETORES DE DADOS,1,444
290,1074,4.12.,SEGURANCA,0,
291,290,4.12.001,TRANSPORTE DE VALORES,1,33120049
292,290,4.12.002,SISTEMA MONITORADO,1,411
293,1074,4.13.,TAXAS / MULTAS / TRIB.,1,450
294,293,4.13.001,DESPESAS DE CARTORIO,1,409
295,293,4.13.022,TAXAS MUNICIPAIS,2,450
296,1074,4.14.,INADIMPLENTES,0,
297,296,4.14.001,CHEQUES DEVOLVIDOS,1,
298,296,4.14.002,CHEQUES DEVOLVIDOS RECEBIDOS,1,
299,1074,4.15.,DESPESAS FINANCEIRAS,0,
300,299,4.15.001,DESPESAS BANCARIAS,1,464
301,299,4.15.002,COMISSAO SOBRE COMPRA DE MOEDAS,1,
